'00:00:00','204.538462811','46.629'
'01:00:00','185.00194542300002','42.893'
'02:00:00','172.080435479','40.081'
'03:00:00','164.688138929','39.145999999999994'
'04:00:00','153.175284662','36.324999999999996'
'05:00:00','157.716250168','36.092'
'06:00:00','171.299345853','37.745999999999995'
'07:00:00','251.25865017600003','50.509'
'08:00:00','230.57626421100002','46.426'
'09:00:00','198.290852825','41.919999999999995'
'10:00:00','200.40825043800007','43.266'
'11:00:00','214.80981418800002','47.202'
'12:00:00','208.73785821600003','49.47599999999999'
'13:00:00','226.84119488500002','55.942'
'14:00:00','241.188766568','56.58'
'15:00:00','199.39409837400004','47.22999999999998'
'16:00:00','238.328022579','53.395'
'17:00:00','256.03815843900003','57.24900000000001'
'18:00:00','257.97221245000003','55.61099999999999'
'19:00:00','231.389445277','50.434000000000005'
'20:00:00','246.75110578600004','52.512'
'21:00:00','230.42508961299995','49.58'
'22:00:00','246.85112606600003','54.925000000000004'
'23:00:00','264.18179803099997','57.02599999999999'
